Cultivar	Wild
282set_Ci7Goodman-Buckler	Improved	
282set_Ci90CGoodman-Buckler	Improved	
282set_Ci91BGoodman-Buckler	Improved	
282set_CM105	Improved	
282set_CM37	Improved	
282set_CM7	Improved	
282set_CML10	Improved	
282set_CML108	Improved	
282set_CML11	Improved	
282set_CML14	Improved	
282set_CML154Q	Improved	
282set_CML157Q	Improved	
282set_CML158Q	Improved	
282set_CML218	Improved	
282set_CML220	Improved	
282set_CML228	Improved	
282set_CML238	Improved	
282set_CML247	Improved	
282set_CML254	Improved	
282set_CML258	Improved	
282set_CML261	Improved	
282set_CML264	Improved	
282set_CML277	Improved	
282set_CML281	Improved	
282set_CML287	Improved	
282set_CML311	Improved	
282set_CML314	Improved	
282set_CML321	Improved	
282set_CML322	Improved	
282set_CML323	Improved	
282set_CML328	Improved	
282set_CML331	Improved	
282set_CML332	Improved	
282set_CML333	Improved	
282set_CML341	Improved	
282set_CML38	Improved	
282set_CML45	Improved	
282set_CML5	Improved	
282set_CML52	Improved	
282set_CML61	Improved	
282set_CML69	Improved	
282set_CML77	Improved	
282set_CML91	Improved	
282set_CML92	Improved	
282set_CMV3	Improved	
282set_CO106	Improved	
282set_CO125	Improved	
282set_CO255	Improved	
282set_D940Y	Improved	
282set_DE-2	Improved	
282set_DE1	Improved	
282set_DE811	Improved	
282set_E2558W	Improved	
282set_EP1	Improved	
282set_F2834T	Improved	
282set_F6	Improved	
282set_F7	Improved	
282set_GA209	Improved	
282set_GT112	Improved	
282set_H105W	Improved	
282set_H49	Improved	
282set_H84	Improved	
282set_H91	Improved	
282set_H95	Improved	
282set_H99	Improved	
282set_Hi27Goodman-Buckler	Improved	
282set_HP301	Improved	
282set_I137TN	Improved	
282set_i1677a	Improved	
282set_I205	Improved	
282set_I29	Improved	
282set_IA2132Goodman-Buckler	Improved	
282set_Ia5125	Improved	
282set_IDS28	Improved	
282set_IDS69	Improved	
282set_IDS91	Improved	
282set_Il101	Improved	
282set_Il14H	Improved	
282set_ILLHy	Improved	
282set_K148	Improved	
282set_K4	Improved	
282set_K55	Improved	
282set_K64	Improved	
282set_Ki11	Improved	
282set_Ki14	Improved	
282set_Ki2021	Improved	
282set_Ki21	Improved	
282set_Ki43	Improved	
282set_Ki44	Improved	
282set_Ky21	Improved	
282set_KY226	Improved	
282set_KY228	Improved	
282set_L317	Improved	
282set_L578	Improved	
282set_M14	Improved	
282set_M162W	Improved	
282set_M37W	Improved	
282set_MEF156-55-2	Improved	
282set_Mo17	Improved	
282set_Mo18W	Improved	
282set_MO1W	Improved	
282set_Mo24W	Improved	
282set_Mo44	Improved	
282set_Mo45	Improved	
282set_Mo46	Improved	
282set_Mo47	Improved	
282set_MoG	Improved	
282set_Mp339	Improved	
282set_MS1334	Improved	
282set_MS153	Improved	
282set_Mt42	Improved	
282set_N192	Improved	
282set_N28Ht	Improved	
282set_NC222	Improved	
282set_NC230	Improved	
282set_NC232	Improved	
282set_NC236	Improved	
282set_NC238	Improved	
282set_NC250	Improved	
282set_NC258	Improved	
282set_NC260	Improved	
282set_NC262	Improved	
282set_NC264	Improved	
282set_NC290A	Improved	
282set_NC294	Improved	
282set_NC296	Improved	
282set_NC296A	Improved	
282set_NC298	Improved	
282set_NC300	Improved	
282set_NC302	Improved	
282set_NC304	Improved	
282set_NC306	Improved	
282set_NC310	Improved	
282set_NC314	Improved	
282set_NC318	Improved	
282set_NC320	Improved	
282set_NC324	Improved	
282set_NC326	Improved	
282set_NC328	Improved	
282set_NC33	Improved	
282set_NC336	Improved	
282set_NC338	Improved	
282set_NC340	Improved	
282set_NC342	Improved	
282set_NC344	Improved	
282set_NC346	Improved	
282set_NC348	Improved	
282set_NC350	Improved	
282set_NC352	Improved	
282set_NC354	Improved	
282set_NC356	Improved	
282set_NC358	Improved	
282set_NC360	Improved	
282set_NC362	Improved	
282set_NC364	Improved	
282set_NC366	Improved	
282set_NC368	Improved	
282set_ND246	Improved	
282set_Oh40B	Improved	
282set_Oh43E	Improved	
282set_Oh603	Improved	
282set_OH7B	Improved	
282set_Os420	Improved	
282set_P39Goodman-Buckler	Improved	
282set_Pa762	Improved	
282set_Pa875	Improved	
282set_Pa880	Improved	
282set_Pa91	Improved	
282set_R168	Improved	
282set_R177	Improved	
282set_R229	Improved	
282set_R4	Improved	
282set_SA24	Improved	
282set_SC213R	Improved	
282set_SC357	Improved	
282set_SC55	Improved	
282set_SD40	Improved	
282set_SD44	Improved	
282set_Sg1533	Improved	
282set_Sg18	Improved	
282set_T232	Improved	
282set_T234	Improved	
282set_T8	Improved	
282set_Tx303	Improved	
282set_Tx601	Improved	
282set_Tzi10	Improved	
282set_Tzi11	Improved	
282set_Tzi16	Improved	
282set_Tzi18	Improved	
282set_Tzi25	Improved	
282set_Tzi8	Improved	
282set_Tzi9	Improved	
282set_U267Y	Improved	
282set_VA102	Improved	
282set_Va14	Improved	
282set_Va17	Improved	
282set_Va22	Improved	
282set_Va26	Improved	
282set_Va35	Improved	
282set_Va59	Improved	
282set_Va85	Improved	
282set_Va99	Improved	
282set_VaW6	Improved	
282set_W117Ht	Improved	
282set_W153R	Improved	
282set_W182B	Improved	
282set_Wf9	Improved	
282set_Yu796	Improved	
german_W117	Improved	
german_UH304	Improved	
german_UH250	Improved	
german_UH009	Improved	
german_UH007	Improved	
german_UH006	Improved	
german_Teosinte		Parviglumis
german_PH207	Improved	
german_Mo17	Improved	
german_Lo11	Improved	
german_FF0721H-7	Improved	
german_F98902	Improved	
german_F7	Improved	
german_F64	Improved	
german_F618	Improved	
german_F353	Improved	
german_F283	Improved	
german_F252	Improved	
german_F2	Improved	
german_F03802	Improved	
german_EZ5	Improved	
german_EP44	Improved	
german_EP1	Improved	
german_EC49A	Improved	
german_EC169	Improved	
german_DK105	Improved	
german_D152	Improved	
german_D09	Improved	
german_D06	Improved	
german_CH10	Improved	
german_B73	Improved	
